timestamp,milliseconds,sample_index
00:32.200,32200.000000000004,1545600
00:40.200,40200.0,1929600
00:48.200,48200.0,2313600
00:56.200,56200.0,2697600
01:04.200,64200.0,3081600
01:12.200,72200.0,3465600
01:20.200,80200.0,3849600
01:28.200,88200.0,4233600
01:36.200,96200.0,4617600
01:44.200,104200.0,5001600
01:52.200,112200.0,5385600
02:00.200,120200.0,5769600
02:08.400,128400.0,6163200
02:16.400,136400.0,6547200
02:24.400,144400.0,6931200
02:32.400,152400.0,7315200
02:40.400,160400.0,7699200
02:48.400,168400.0,8083200
02:56.400,176400.0,8467200
03:04.400,184400.0,8851200
03:12.400,192400.0,9235200
03:20.400,200400.0,9619200
03:28.400,208400.0,10003200
03:36.400,216400.0,10387200
03:44.400,224400.0,10771200
03:52.400,232400.0,11155200
04:00.400,240400.0,11539200
04:08.400,248400.0,11923200
04:16.400,256400.0,12307200
04:24.400,264400.0,12691200
04:32.400,272400.0,13075200
04:40.400,280400.0,13459200
04:48.400,288400.0,13843200
04:56.400,296400.0,14227200
05:04.600,304600.0,14620800
05:12.600,312600.0,15004800
05:20.600,320600.0,15388800
05:28.600,328600.0,15772800
05:36.600,336600.0,16156800
05:44.600,344600.0,16540800
05:52.600,352600.0,16924800
06:00.600,360600.0,17308800
06:08.600,368600.0,17692800
06:16.600,376600.0,18076800
06:24.600,384600.0,18460800
06:32.600,392600.0,18844800
06:40.600,400600.0,19228800
06:48.800,408800.0,19622400
06:56.800,416800.0,20006400
07:04.800,424800.0,20390400
07:12.800,432800.0,20774400
07:20.800,440800.0,21158400
07:28.800,448800.0,21542400
07:36.800,456800.0,21926400
07:44.800,464800.0,22310400
07:52.800,472800.0,22694400
08:00.800,480800.0,23078400
08:08.800,488800.0,23462400
08:16.800,496800.0,23846400
08:24.800,504800.0,24230400
08:32.800,512800.0,24614400
08:40.800,520800.0,24998400
08:48.800,528800.0,25382400
08:56.800,536800.0,25766400
09:04.800,544800.0,26150400
09:12.800,552800.0,26534400
09:20.800,560800.0,26918400
09:28.800,568800.0,27302400
09:36.800,576800.0,27686400
09:45.000,585000.0,28080000
09:53.000,593000.0,28464000
10:01.000,601000.0,28848000
10:09.000,609000.0,29232000
10:17.000,617000.0,29616000
10:25.000,625000.0,30000000
10:33.000,633000.0,30384000
10:41.000,641000.0,30768000
10:49.000,649000.0,31152000
10:57.000,657000.0,31536000
11:05.000,665000.0,31920000
11:13.000,673000.0,32304000
11:21.000,681000.0,32688000
11:29.200,689200.0,33081600
11:37.200,697200.0,33465600
11:45.200,705200.0,33849600
11:53.200,713200.0,34233600
12:01.200,721200.0,34617600
12:09.200,729200.0,35001600
12:17.200,737200.0,35385600
12:25.200,745200.0,35769600
12:33.200,753200.0,36153600
12:41.200,761200.0,36537600
12:49.200,769200.0,36921600
12:57.200,777200.0,37305600
13:05.200,785200.0,37689600
13:13.200,793200.0,38073600
13:21.200,801200.0,38457600
13:29.200,809200.0,38841600
13:37.200,817200.0,39225600
13:45.200,825200.0,39609600
13:53.200,833200.0,39993600
14:01.200,841200.0,40377600
14:09.200,849200.0,40761600
14:17.200,857200.0,41145600
14:25.400,865400.0,41539200
14:33.400,873400.0,41923200
14:41.400,881400.0,42307200
14:49.400,889400.0,42691200
14:57.400,897400.0,43075200
15:05.400,905400.0,43459200
15:13.400,913400.0,43843200
15:21.400,921400.0,44227200
15:29.400,929400.0,44611200
15:37.400,937400.0,44995200
15:45.400,945400.0,45379200
15:53.400,953400.0,45763200
16:01.400,961400.0,46147200
16:09.600,969600.0,46540800
16:17.600,977600.0,46924800
16:25.600,985600.0,47308800
16:33.600,993600.0,47692800
16:41.600,1001600.0,48076800
16:49.600,1009600.0,48460800
16:57.600,1017600.0,48844800
17:05.600,1025600.0,49228800
17:13.600,1033600.0,49612800
17:21.600,1041600.0,49996800
17:29.600,1049600.0,50380800
17:37.600,1057600.0,50764800
17:45.600,1065600.0,51148800
17:53.600,1073600.0,51532800
18:01.600,1081600.0,51916800
18:09.600,1089600.0,52300800
18:17.600,1097600.0,52684800
18:25.600,1105600.0,53068800
18:33.600,1113600.0,53452800
18:41.600,1121600.0,53836800
18:49.600,1129600.0,54220800
18:57.600,1137600.0,54604800
19:05.800,1145800.0,54998400
19:13.800,1153800.0,55382400
19:21.800,1161800.0,55766400
19:29.800,1169800.0,56150400
19:37.800,1177800.0,56534400
19:45.800,1185800.0,56918400
19:53.800,1193800.0,57302400
20:01.800,1201800.0,57686400
20:09.800,1209800.0,58070400
20:17.800,1217800.0,58454400
20:25.800,1225800.0,58838400
20:33.800,1233800.0,59222400
20:41.800,1241800.0,59606400
20:50.000,1250000.0,60000000
20:58.000,1258000.0,60384000
21:06.000,1266000.0,60768000
21:14.000,1274000.0,61152000
21:22.000,1282000.0,61536000
21:30.000,1290000.0,61920000
21:38.000,1298000.0,62304000
21:46.000,1306000.0,62688000
21:54.000,1314000.0,63072000
22:02.000,1322000.0,63456000
22:10.000,1330000.0,63840000
22:18.000,1338000.0,64224000
22:26.000,1346000.0,64608000
22:34.000,1354000.0,64992000
22:42.000,1362000.0,65376000
22:50.000,1370000.0,65760000
22:58.000,1378000.0,66144000
23:06.000,1386000.0,66528000
23:14.000,1394000.0,66912000
23:22.000,1402000.0,67296000
23:30.000,1410000.0,67680000
23:38.000,1418000.0,68064000
23:46.200,1426200.0,68457600
23:54.200,1434200.0,68841600
24:02.200,1442200.0,69225600
24:10.200,1450200.0,69609600
24:18.200,1458200.0,69993600
24:26.200,1466200.0,70377600
24:34.200,1474200.0,70761600
24:42.200,1482200.0,71145600
24:50.200,1490200.0,71529600
24:58.200,1498200.0,71913600
25:06.200,1506200.0,72297600
25:14.200,1514200.0,72681600
25:22.200,1522200.0,73065600
25:30.400,1530400.0,73459200
25:38.400,1538400.0,73843200
25:46.400,1546400.0,74227200
25:54.400,1554400.0,74611200
26:02.400,1562400.0,74995200
26:10.400,1570400.0,75379200
26:18.400,1578400.0,75763200
26:26.400,1586400.0,76147200
26:34.400,1594400.0,76531200
26:42.400,1602400.0,76915200
26:50.400,1610400.0,77299200
