participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile
1,20,right,0,190,1564800,1573920,32600.0,32790.0,32600.000000000004,32790.0,True
1,21,left,1,400,1939200,1958399,40400.0,40799.979166666664,40400.0,40800.0,True
1,22,front,2,700,2332800,2366400,48600.0,49300.0,48600.0,49300.0,True
1,23,front,0,190,2716800,2725920,56600.0,56790.0,56600.0,56790.0,True
1,25,right,2,700,3489600,3523200,72700.0,73400.0,72700.0,73400.0,True
1,26,front,0,190,3864000,3873120,80500.0,80690.0,80500.0,80690.0,True
1,27,left,1,400,4248000,4267200,88500.0,88900.0,88500.0,88900.0,True
1,28,right,2,700,4627200,4660800,96400.0,97100.0,96400.0,97100.0,True
1,24,left,1,400,3091200,3110400,64400.00000000001,64800.0,64400.0,64800.0,True
1,29,left,0,190,5016000,5025120,104500.0,104690.0,104500.0,104690.0,False
