participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile,trial_type
49,21,left,1,400,1569600,1588800,32700.000000000004,33100.0,32700,33100,True,inhalation
49,55,right,0,190,1953600,1962720,40700.0,40890.0,40700,40890,True,baseline
49,54,left,4,1500,5020800,5092800,104600.0,106100.0,104600,106100,True,baseline
49,53,front,3,1000,5788800,5836800,120600.0,121600.0,120600,121600,True,baseline
49,65,left,0,190,6177599,6186719,128699.97916666669,128889.97916666667,128700,128890,False,catch
49,37,left,2,700,6936000,6969599,144500.0,145199.9791666667,144500,145200,True,exhalation
49,32,front,2,700,9254400,9288000,192800.0,193500.0,192800,193500,True,inhalation
49,48,left,3,1000,10022400,10070400,208800.0,209800.0,208800,209800,True,exhalation
49,49,right,4,1500,11544000,11616000,240500.0,242000.0,240500,242000,True,exhalation
49,27,right,2,700,12311952,12345552,256499.00000000003,257199.0,256499,257199,True,inhalation
49,35,right,0,190,14635199,14644319,304899.9791666666,305089.9791666667,304900,305090,True,exhalation
49,31,left,1,400,15412800,15432000,321100.0,321500.0,321100,321500,True,inhalation
49,36,front,1,400,16161600,16180800,336700.0,337100.0,336700,337100,True,exhalation
49,52,front,2,700,16555199,16588800,344899.9791666666,345600.0,344900,345600,True,baseline
49,39,front,4,1500,17712000,17784000,369000.0,370500.0,369000,370500,True,exhalation
49,46,left,1,400,20793600,20812800,433200.0,433600.0,433200,433600,True,exhalation
49,51,left,1,400,22718400,22737600,473300.0,473700.0,473300,473700,True,baseline
49,60,front,0,190,26553600,26562720,553200.0,553390.0,553200,553390,True,baseline
49,33,right,3,1000,30792000,30840000,641500.0,642500.0,641500,642500,True,inhalation
49,58,left,3,1000,31166399,31214399,649299.9791666666,650299.9791666666,649300,650300,True,baseline
49,57,right,2,700,31934399,31968000,665299.9791666666,666000.0,665300,666000,True,baseline
49,29,left,4,1500,35409600,35481600,737700.0,739200.0,737700,739200,True,inhalation
49,66,right,1,400,35793600,35812800,745700.0,746100.0,745700,746100,False,catch
49,64,left,4,1500,36552000,36624000,761500.0,763000.0,761500,763000,True,baseline
49,45,right,0,190,40776000,40785120,849500.0,849690.0,849500,849690,True,exhalation
49,44,left,4,1500,43867200,43939200,913900.0,915400.0,913900,915400,True,exhalation
49,61,right,1,400,45772800,45792000,953600.0,954000.0,953600,954000,True,baseline
49,34,left,4,1500,50788799,50860799,1058099.9791666665,1059599.9791666665,1058100,1059600,True,inhalation
49,38,left,3,1000,53083200,53131200,1105900.0,1106900.0,1105900,1106900,True,exhalation
49,26,right,1,400,53841600,53860799,1121700.0,1122099.9791666665,1121700,1122100,True,inhalation
49,22,right,2,700,55401600,55435200,1154200.0,1154900.0,1154200,1154900,True,inhalation
49,67,right,2,700,58075200,58108799,1209900.0,1210599.9791666665,1209900,1210600,False,catch
49,40,front,0,190,60777600,60786720,1266200.0,1266390.0,1266200,1266390,True,exhalation
49,23,left,3,1000,61560000,61608000,1282500.0,1283500.0,1282500,1283500,True,inhalation
49,43,front,3,1000,62323200,62371200,1298400.0,1299400.0,1298400,1299400,True,exhalation
49,50,front,0,190,65774400,65783520,1370300.0,1370490.0,1370300,1370490,True,baseline
49,20,front,0,190,66158400,66167520,1378300.0,1378490.0,1378300,1378490,True,inhalation
49,25,front,0,190,69230400,69239520,1442300.0,1442490.0,1442300,1442490,True,inhalation
49,69,front,4,1500,69244800,69316800,1442600.0,1444100.0,1442600,1444100,False,catch
49,62,left,2,700,70387200,70420800,1466400.0,1467100.0,1466400,1467100,True,baseline
49,24,front,4,1500,70780800,70852800,1474600.0,1476100.0,1474600,1476100,True,inhalation
49,42,right,2,700,74625600,74659200,1554700.0,1555400.0,1554700,1555400,True,exhalation
49,47,right,2,700,76171200,76204800,1586900.0,1587600.0,1586900,1587600,True,exhalation
49,56,right,1,400,77323200,77342400,1610900.0,1611300.0,1610900,1611300,True,baseline
49,68,right,3,1000,78859200,78907200,1642900.0,1643900.0,1642900,1643900,False,catch
49,59,right,4,1500,78844800,78916800,1642600.0,1644100.0,1642600,1644100,True,baseline
49,41,front,1,400,82305600,82324800,1714700.0,1715100.0,1714700,1715100,True,exhalation
49,28,front,3,1000,83088000,83136000,1731000.0,1732000.0,1731000,1732000,True,inhalation
49,63,front,3,1000,83457600,83505600,1738700.0,1739700.0,1738700,1739700,True,baseline
49,30,right,0,190,84609600,84618720,1762700.0,1762890.0,1762700,1762890,True,inhalation
