retentionslot_timestamp,milliseconds,sample_index,description,breathphase
00.31.949,31950,1533600,,inhale
00.39.929,39930,1916640,,exhale
00.48.000,48000,2304000,,inhale
00.55.950,55950,2685600,,exhale
01.04.019,64019,3072912,,inhale
01.12.000,72000,3456000,,exhale
01.20.069,80069,3843359,,inhale
01.28.019,88020,4224960,,exhale
01.36.090,96090,4612320,,inhale
01.44.069,104070,4995360,,exhale
01.52.140,112140,5382720,,inhale
02.00.090,120090,5764320,,exhale
02.08.159,128160,6151680,,inhale
02.16.139,136139,6534719,,exhale
02.24.180,144180,6920640,,inhale
02.32.159,152160,7303680,,exhale
02.40.229,160229,7691039,,inhale
02.48.210,168210,8074080,,exhale
02.56.250,176250,8460000,,inhale
03.04.229,184230,8843040,,exhale
03.12.300,192300,9230400,,inhale
03.20.250,200250,9612000,,exhale
03.28.349,208350,10000800,,inhale
03.36.300,216300,10382400,,exhale
03.44.368,224369,10769712,,inhale
03.52.349,232350,11152800,,exhale
04.00.389,240390,11538720,,inhale
04.08.370,248370,11921760,,exhale
04.16.410,256410,12307680,,inhale
04.24.389,264390,12690720,,exhale
04.32.459,272459,13078079,,inhale
04.40.410,280410,13459680,,exhale
04.48.509,288510,13848480,,inhale
04.56.459,296459,14230079,,exhale
05.04.500,304500,14616000,,inhale
05.12.480,312480,14999040,,exhale
05.19.570,319570,15339407,,inhale
05.20.550,320550,15386400,,inhale
05.27.520,327520,15721007,,exhale
05.28.529,328529,15769439,,exhale
05.35.589,335589,16108319,,inhale
05.43.570,343570,16491407,,exhale
05.51.641,351641,16878768,,inhale
05.59.591,359591,17260368,,exhale
06.07.661,367661,17647728,,inhale
06.15.641,375641,18030768,,exhale
06.23.711,383711,18418128,,inhale
06.31.661,391661,18799728,,exhale
06.39.730,399731,19187088,,inhale
06.47.711,407711,19570128,,exhale
06.55.750,415751,19956048,,inhale
07.03.730,423731,20339088,,exhale
07.11.800,431801,20726448,,inhale
07.19.781,439781,21109488,,exhale
07.27.821,447821,21495408,,inhale
07.35.800,455801,21878448,,exhale
07.43.870,463871,22265808,,inhale
07.51.821,471821,22647408,,exhale
07.59.920,479921,23036208,,inhale
08.07.870,487871,23417808,,exhale
08.15.939,495940,23805120,,inhale
08.23.920,503921,24188208,,exhale
08.31.961,511961,24574128,,inhale
08.39.941,519941,24957168,,exhale
08.47.980,527981,25343088,,inhale
08.55.961,535961,25726128,,exhale
09.04.030,544030,26113487,,inhale
09.11.980,551981,26495088,,exhale
09.20.081,560081,26883888,,inhale
09.28.030,568030,27265487,,exhale
09.36.070,576070,27651407,,inhale
09.44.050,584050,28034447,,exhale
