word,start_time,start_milliseconds,start_sample_index,end_time,end_milliseconds,end_sample_index,duration_sec,
Start,0,0,00:00.0,0,0,00:00.0,0.48,
three,960,46080,00:00.9,990,47520,00:00.0,0.51,
four,1950,93600,00:01.8,1920,92160,2056320,0.45,
good,2580,123840,00:02.4,2430,116640,2080800,0.33,
inhale,2970,142560,00:03.1,3210,154080,2118240,0.72,
two,3990,191520,00:03.9,4020,192960,2157120,0.51,
three,5070,243360,00:05.0,5100,244800,2208960,0.51,
four,6060,290880,00:06.0,6090,292320,2256480,0.51,
hold,7110,341280,00:07.0,7080,339840,2304000,0.45,inhale
two,8070,387360,00:08.0,8070,387360,2351520,0.48,
three,9030,433440,00:09.0,9060,434880,2399040,0.51,
four,10050,482400,00:10.0,10050,482400,2446560,0.48,
exhale,10980,527040,00:11.1,11220,538560,2502720,0.72,hold
two,12000,576000,00:11.9,11970,574560,2538720,0.45,
three,13050,626400,00:13.0,13110,629280,2593440,0.54,
four,14100,676800,00:14.0,14070,675360,2639520,0.45,
hold,15060,722880,00:14.9,15030,721440,2685600,0.45,exhale
two,16050,770400,00:15.9,16020,768960,2733120,0.45,
three,16980,815040,00:17.0,17040,817920,2782080,0.54,
four,18030,865440,00:17.9,18000,864000,2828160,0.45,
inhale,19020,912960,00:19.2,19260,924480,2888640,0.72,
two,20039,961872,00:20.0,20069,963312,2927472,0.51,
three,21150,1015200,00:21.0,21120,1013760,2977920,0.45,
four,22080,1059840,00:22.0,22080,1059840,3024000,0.48,
hold,23130,1110240,00:23.0,23099,1108752,3072912,0.45,
two,24120,1157760,00:24.0,24090,1156320,3120480,0.45,
three,25049,1202352,00:25.0,25110,1205280,3169440,0.54,
four,26100,1252800,00:26.0,26070,1251360,3215520,0.45,
exhale,27000,1296000,00:27.2,27240,1307520,3271680,0.72,
two,28050,1346400,00:27.9,28020,1344960,3309120,0.45,
three,29070,1395360,00:29.0,29100,1396800,3360960,0.51,
four,30150,1447200,00:30.0,30060,1442880,3407040,0.39,
hold,31080,1491840,00:31.0,31080,1491840,3456000,0.48,
two,32070,1539360,00:32.0,32070,1539360,3503520,0.48,
three,33030,1585440,00:33.0,33060,1586880,3551040,0.51,
four,34050,1634400,00:34.0,34050,1634400,3598560,0.48,
inhale,35040,1681920,00:35.2,35310,1694880,3659040,0.75,
two,36060,1730880,00:36.0,36090,1732320,3696480,0.51,
three,37170,1784160,00:37.1,37170,1784160,3748320,0.48,
four,38100,1828800,00:38.0,38100,1828800,3792960,0.48,
