retentionslot_timestamp,milliseconds,sample_index,description,breathphase,,
00:32.2,32200,1545600,First hold ends,inhale,,hold
00:40.2,40200,1929600,Second hold ends,exhale,8000,hold
00:48.2,48200,2313600,Third hold ends,inhale,8000,hold
00:56.2,56200,2697600,Fourth hold ends,exhale,8000,hold
01:04.2,64200,3081600,Fifth hold ends,inhale,8000,hold
01:12.2,72200,3465600,Sixth hold ends,exhale,8000,hold
01:20.2,80200,3849600,Seventh hold ends,inhale,8000,hold
01:28.2,88200,4233600,Eighth hold ends,exhale,8000,hold
01:36.2,96200,4617600,Ninth hold ends,inhale,8000,hold
01:44.2,104200,5001600,Tenth hold ends,exhale,8000,hold
01:52.2,112200,5385600,Eleventh hold ends,inhale,8000,hold
02:00.2,120200,5769600,Twelfth hold ends,exhale,8000,hold
02:08.4,128400,6163200,Thirteenth hold ends (timing shift +0.2s),inhale,8200,hold
02:16.4,136400,6547200,Fourteenth hold ends,exhale,8000,hold
02:24.4,144400,6931200,Fifteenth hold ends,inhale,8000,hold
02:32.4,152400,7315200,Sixteenth hold ends,exhale,8000,hold
02:40.4,160400,7699200,Seventeenth hold ends,inhale,8000,hold
02:48.4,168400,8083200,Eighteenth hold ends,exhale,8000,hold
02:56.4,176400,8467200,Nineteenth hold ends,inhale,8000,hold
03:04.4,184400,8851200,Twentieth hold ends,exhale,8000,hold
03:12.4,192400,9235200,Twenty-first hold ends,inhale,8000,hold
03:20.4,200400,9619200,Twenty-second hold ends,exhale,8000,hold
03:28.4,208400,10003200,Twenty-third hold ends,inhale,8000,hold
03:36.4,216400,10387200,Twenty-fourth hold ends,exhale,8000,hold
03:44.4,224400,10771200,Twenty-fifth hold ends,inhale,8000,hold
03:52.4,232400,11155200,Twenty-sixth hold ends,exhale,8000,hold
04:00.4,240400,11539200,Twenty-seventh hold ends,inhale,8000,hold
04:08.4,248400,11923200,Twenty-eighth hold ends,exhale,8000,hold
04:16.4,256400,12307200,Twenty-ninth hold ends,inhale,8000,hold
04:24.4,264400,12691200,Thirtieth hold ends,exhale,8000,hold
04:32.4,272400,13075200,Thirty-first hold ends,inhale,8000,hold
04:40.4,280400,13459200,Thirty-second hold ends,exhale,8000,hold
04:48.4,288400,13843200,Thirty-third hold ends,inhale,8000,hold
04:56.4,296400,14227200,Thirty-fourth hold ends,exhale,8000,hold
05:04.6,304600,14620800,Thirty-fifth hold ends (timing shift +0.2s),inhale,8200,hold
05:12.6,312600,15004800,Thirty-sixth hold ends,exhale,8000,hold
05:20.6,320600,15388800,Thirty-seventh hold ends,inhale,8000,hold
05:28.6,328600,15772800,Thirty-eighth hold ends (final hold),exhale,8000,hold
