Trial_Number,Trial_Type,SOA_ms,Noise_Type,Respiratory_Phase
1,Catch,800,Blue,Inhale
2,Audio-Tactile,300,Blue,Exhale
3,Audio-Tactile,800,Brown,Inhale
4,Audio-Tactile,1500,White,Exhale
5,Audio-Tactile,1500,Brown,Inhale
6,Baseline,800,N/A,Exhale
7,Audio-Tactile,800,Blue,Inhale
8,Catch,1500,Brown,Exhale
9,Audio-Tactile,1500,White,Inhale
10,Catch,300,Brown,Exhale
11,Baseline,800,N/A,Inhale
12,Baseline,2200,N/A,Exhale
13,Baseline,2700,N/A,Inhale
14,Audio-Tactile,300,Brown,Exhale
15,Baseline,300,N/A,Inhale
16,Baseline,2700,N/A,Exhale
17,Baseline,1500,N/A,Inhale
18,Baseline,1500,N/A,Exhale
19,Audio-Tactile,2700,White,Inhale
20,Audio-Tactile,1500,Brown,Exhale
21,Audio-Tactile,2200,White,Inhale
22,Baseline,2200,N/A,Exhale
23,Baseline,300,N/A,Inhale
24,Baseline,800,N/A,Exhale
25,Audio-Tactile,2200,Brown,Inhale
26,Audio-Tactile,2700,Blue,Exhale
27,Audio-Tactile,2700,Pink,Inhale
28,Audio-Tactile,300,White,Exhale
29,Audio-Tactile,2700,Brown,Inhale
30,Baseline,300,N/A,Exhale
31,Baseline,1500,N/A,Inhale
32,Baseline,2700,N/A,Exhale
33,Baseline,2200,N/A,Inhale
34,Baseline,300,N/A,Exhale
35,Audio-Tactile,300,Blue,Inhale
36,Audio-Tactile,300,Pink,Exhale
37,Catch,2700,Pink,Inhale
38,Audio-Tactile,800,Blue,Exhale
39,Baseline,800,N/A,Inhale
40,Audio-Tactile,2200,White,Exhale
41,Baseline,2200,N/A,Inhale
42,Baseline,1500,N/A,Exhale
43,Audio-Tactile,1500,Blue,Inhale
44,Baseline,2700,N/A,Inhale
