retentionslot_timestamp,milliseconds,sample_index,description,breathphase
00:31.9,31950,1533600,,inhale
00:39.9,39930,1916640,,exhale
00:48.0,48000,2304000,,inhale
00:56.0,55950,2685600,,exhale
01:4.0,64019,3072912,,inhale
01:12.0,72000,3456000,,exhale
01:20.1,80069,3843359,,inhale
01:28.0,88020,4224960,,exhale
01:36.1,96090,4612320,,inhale
01:44.1,104070,4995360,,exhale
01:52.1,112140,5382720,,inhale
02:0.1,120090,5764320,,exhale
02:8.2,128160,6151680,,inhale
02:16.1,136139,6534719,,exhale
02:24.2,144180,6920640,,inhale
02:32.2,152160,7303680,,exhale
02:40.2,160229,7691039,,inhale
02:48.2,168210,8074080,,exhale
02:56.2,176250,8460000,,inhale
03:4.2,184230,8843040,,exhale
03:12.3,192300,9230400,,inhale
03:20.2,200250,9612000,,exhale
03:28.3,208350,10000800,,inhale
03:36.3,216300,10382400,,exhale
03:44.4,224369,10769712,,inhale
03:52.3,232350,11152800,,exhale
04:0.4,240390,11538720,,inhale
04:8.4,248370,11921760,,exhale
04:16.4,256410,12307680,,inhale
04:24.4,264390,12690720,,exhale
04:32.5,272459,13078079,,inhale
04:40.4,280410,13459680,,exhale
04:48.5,288510,13848480,,inhale
04:56.5,296459,14230079,,exhale
05:4.5,304500,14616000,,inhale
05:12.5,312480,14999040,,exhale
05:19.6,319570,15339407,,inhale
05:20.6,320550,15386400,,inhale
05:27.5,327520,15721007,,exhale
05:28.5,328529,15769439,,exhale
05:35.6,335589,16108319,,inhale
05:43.6,343570,16491407,,exhale
05:51.6,351641,16878768,,inhale
05:59.6,359591,17260368,,exhale
06:7.7,367661,17647728,,inhale
06:15.6,375641,18030768,,exhale
06:23.7,383711,18418128,,inhale
06:31.7,391661,18799728,,exhale
06:39.7,399731,19187088,,inhale
06:47.7,407711,19570128,,exhale
06:55.8,415751,19956048,,inhale
07:3.7,423731,20339088,,exhale
07:11.8,431801,20726448,,inhale
07:19.8,439781,21109488,,exhale
07:27.8,447821,21495408,,inhale
07:35.8,455801,21878448,,exhale
07:43.9,463871,22265808,,inhale
07:51.8,471821,22647408,,exhale
07:59.9,479921,23036208,,inhale
08:7.9,487871,23417808,,exhale
08:15.9,495940,23805120,,inhale
08:23.9,503921,24188208,,exhale
08:32.0,511961,24574128,,inhale
08:39.9,519941,24957168,,exhale
08:48.0,527981,25343088,,inhale
08:56.0,535961,25726128,,exhale
09:4.0,544030,26113487,,inhale
09:12.0,551981,26495088,,exhale
09:20.1,560081,26883888,,inhale
09:28.0,568030,27265487,,exhale
09:36.1,576070,27651407,,inhale
09:44.1,584050,28034447,,exhale
09:45.1,585051,28082448,,inhale
09:53.0,593001,28464048,,exhale
10:1.1,601070,28851360,,inhale
10:9.1,609051,29234448,,exhale
10:17.1,617121,29621808,,inhale
10:25.1,625071,30003408,,exhale
10:33.1,633141,30390768,,inhale
10:41.1,641121,30773808,,exhale
10:49.2,649191,31161168,,inhale
10:57.1,657141,31542768,,exhale
11:5.2,665211,31930128,,inhale
11:13.2,673191,32313168,,exhale
11:21.2,681231,32699088,,inhale
11:29.2,689211,33082128,,exhale
11:37.3,697280,33469487,,inhale
11:45.3,705261,33852528,,exhale
11:53.3,713301,34238448,,inhale
12:1.3,721281,34621488,,exhale
12:9.4,729351,35008848,,inhale
12:17.3,737301,35390448,,exhale
12:25.4,745401,35779248,,inhale
12:33.4,753351,36160848,,exhale
12:41.4,761420,36548160,,inhale
12:49.4,769401,36931248,,exhale
12:57.4,777441,37317168,,inhale
13:5.4,785421,37700208,,exhale
13:13.5,793461,38086128,,inhale
13:21.4,801441,38469168,,exhale
13:29.5,809511,38856528,,inhale
13:37.5,817461,39238128,,exhale
13:45.6,825561,39626928,,inhale
13:53.5,833511,40008528,,exhale
14:1.6,841551,40394448,,inhale
14:9.5,849531,40777488,,exhale
14:10.5,850531,40825488,,inhale
14:18.5,858481,41207088,,exhale
