retentionslot_timestamp,milliseconds,sample_index,description,breathphase,participant_id,trial_number,trial_type,stimulus_type,soa_value_ms,jitter_ms,is_tactile,looming_stimulus_timestamp,tactile_stimulus_timestamp,soa_ms,jittered_ms,expected_response,marker_type
00:31.9,31950,1533600,,inhale,34,1,practice,,,200,False,,,,32150,False,1
00:39.9,39930,1916640,,exhale,34,2,practice,,,300,False,,,,40230,False,2
00:48.0,48000,2304000,,inhale,34,3,practice,,,100,False,,,,48100,False,1
00:56.0,55950,2685600,,exhale,34,4,practice,,,100,False,,,,56050,False,2
01:4.0,64019,3072912,,inhale,34,5,practice,,,300,False,,,,64319,False,1
01:12.0,72000,3456000,,exhale,34,6,practice,,,400,False,,,,72400,False,2
01:20.1,80069,3843359,,inhale,34,7,practice,,,300,False,,,,80369,False,1
01:28.0,88020,4224960,,exhale,34,8,practice,,,200,False,,,,88220,False,2
01:36.1,96090,4612320,,inhale,34,9,inhalation,blue,400.0,300,True,01:36.4,01:36.8,96790.0,96390,True,1
01:44.1,104070,4995360,,exhale,34,10,baseline,,1500.0,500,True,,01:46.1,106070.0,104570,True,2
01:52.1,112140,5382720,,inhale,34,11,baseline,,1500.0,500,True,,01:54.1,114140.0,112640,True,1
02:0.1,120090,5764320,,exhale,34,12,baseline,,1500.0,500,True,,02:2.1,122090.0,120590,True,2
02:8.2,128160,6151680,,inhale,34,13,catch,pink,,500,False,02:8.7,,,128660,False,1
02:16.1,136139,6534719,,exhale,34,14,catch,white,,300,False,02:16.4,,,136439,False,2
02:24.2,144180,6920640,,inhale,34,15,baseline,,190.0,500,True,,02:24.9,144870.0,144680,True,1
02:32.2,152160,7303680,,exhale,34,16,exhalation,white,190.0,300,True,02:32.5,02:32.6,152650.0,152460,True,2
02:40.2,160229,7691039,,inhale,34,17,inhalation,pink,400.0,100,True,02:40.3,02:40.7,160729.0,160329,True,1
02:48.2,168210,8074080,,exhale,34,18,baseline,,700.0,500,True,,02:49.4,169410.0,168710,True,2
02:56.2,176250,8460000,,inhale,34,19,baseline,,1500.0,300,True,,02:58.0,178050.0,176550,True,1
03:4.2,184230,8843040,,exhale,34,20,exhalation,pink,1000.0,300,True,03:4.5,03:5.5,185530.0,184530,True,2
03:12.3,192300,9230400,,inhale,34,21,inhalation,blue,1500.0,100,True,03:12.4,03:13.9,193900.0,192400,True,1
03:20.2,200250,9612000,,exhale,34,22,baseline,,700.0,500,True,,03:21.4,201450.0,200750,True,2
03:28.3,208350,10000800,,inhale,34,23,baseline,,190.0,400,True,,03:28.9,208940.0,208750,True,1
03:36.3,216300,10382400,,exhale,34,24,baseline,,1500.0,400,True,,03:38.2,218200.0,216700,True,2
03:44.4,224369,10769712,,inhale,34,25,baseline,,400.0,400,True,,03:45.2,225169.0,224769,True,1
03:52.3,232350,11152800,,exhale,34,26,exhalation,white,1500.0,400,True,03:52.8,03:54.2,234250.0,232750,True,2
04:0.4,240390,11538720,,inhale,34,27,inhalation,blue,190.0,300,True,04:0.7,04:0.9,240880.0,240690,True,1
04:8.4,248370,11921760,,exhale,34,28,baseline,,1000.0,500,True,,04:9.9,249870.0,248870,True,2
04:16.4,256410,12307680,,inhale,34,29,baseline,,1500.0,200,True,,04:18.1,258110.0,256610,True,1
04:24.4,264390,12690720,,exhale,34,30,catch,brown,,100,False,04:24.5,,,264490,False,2
04:32.5,272459,13078079,,inhale,34,31,inhalation,blue,1000.0,400,True,04:32.9,04:33.9,273859.0,272859,True,1
04:40.4,280410,13459680,,exhale,34,32,exhalation,pink,1000.0,200,True,04:40.6,04:41.6,281610.0,280610,True,2
04:48.5,288510,13848480,,inhale,34,33,catch,pink,,100,False,04:48.6,,,288610,False,1
04:56.5,296459,14230079,,exhale,34,34,exhalation,brown,400.0,200,True,04:56.7,04:57.1,297059.0,296659,True,2
05:4.5,304500,14616000,,inhale,34,35,inhalation,blue,400.0,100,True,05:4.6,05:5.0,305000.0,304600,True,1
05:12.5,312480,14999040,,exhale,34,36,exhalation,blue,1000.0,200,True,05:12.7,05:13.7,313680.0,312680,True,2
05:19.6,319570,15339407,,inhale,34,37,inhalation,white,400.0,200,True,05:19.8,05:20.2,320170.0,319770,True,1
05:20.6,320550,15386400,,inhale,34,38,inhalation,brown,1500.0,100,True,05:20.6,05:22.1,322150.0,320650,True,1
05:27.5,327520,15721007,,exhale,34,39,baseline,,400.0,400,True,,05:28.3,328320.0,327920,True,2
05:28.5,328529,15769439,,exhale,34,40,baseline,,400.0,200,True,,05:29.1,329129.0,328729,True,2
05:35.6,335589,16108319,,inhale,34,41,inhalation,brown,1500.0,400,True,05:36.0,05:37.5,337489.0,335989,True,1
05:43.6,343570,16491407,,exhale,34,42,baseline,,400.0,200,True,,05:44.2,344170.0,343770,True,2
05:51.6,351641,16878768,,inhale,34,43,inhalation,pink,1500.0,400,True,05:52.0,05:53.5,353541.0,352041,True,1
05:59.6,359591,17260368,,exhale,34,44,catch,brown,,200,False,05:59.8,,,359791,False,2
06:7.7,367661,17647728,,inhale,34,45,baseline,,700.0,500,True,,06:8.9,368861.0,368161,True,1
06:15.6,375641,18030768,,exhale,34,46,exhalation,blue,190.0,500,True,06:16.1,06:16.3,376331.0,376141,True,2
06:23.7,383711,18418128,,inhale,34,47,inhalation,pink,1000.0,200,True,06:23.9,06:24.9,384911.0,383911,True,1
06:31.7,391661,18799728,,exhale,34,48,baseline,,190.0,100,True,,06:32.0,391951.0,391761,True,2
06:39.7,399731,19187088,,inhale,34,49,inhalation,pink,190.0,400,True,06:40.1,06:40.3,400321.0,400131,True,1
06:47.7,407711,19570128,,exhale,34,50,catch,blue,,500,False,06:48.2,,,408211,False,2
06:55.8,415751,19956048,,inhale,34,51,inhalation,brown,400.0,400,True,06:56.2,06:56.6,416551.0,416151,True,1
07:3.7,423731,20339088,,exhale,34,52,exhalation,white,190.0,300,True,07:4.0,07:4.2,424221.0,424031,True,2
07:11.8,431801,20726448,,inhale,34,53,inhalation,brown,1000.0,400,True,07:12.2,07:13.2,433201.0,432201,True,1
07:19.8,439781,21109488,,exhale,34,54,exhalation,pink,190.0,200,True,07:20.0,07:20.2,440171.0,439981,True,2
07:27.8,447821,21495408,,inhale,34,55,inhalation,pink,190.0,200,True,07:28.0,07:28.2,448211.0,448021,True,1
07:35.8,455801,21878448,,exhale,34,56,exhalation,blue,190.0,100,True,07:35.9,07:36.1,456091.0,455901,True,2
07:43.9,463871,22265808,,inhale,34,57,inhalation,pink,1500.0,400,True,07:44.3,07:45.8,465771.0,464271,True,1
07:51.8,471821,22647408,,exhale,34,58,exhalation,white,700.0,100,True,07:51.9,07:52.6,472621.0,471921,True,2
07:59.9,479921,23036208,,inhale,34,59,baseline,,400.0,500,True,,08:0.8,480821.0,480421,True,1
08:7.9,487871,23417808,,exhale,34,60,exhalation,white,1500.0,200,True,08:8.1,08:9.6,489571.0,488071,True,2
08:15.9,495940,23805120,,inhale,34,61,catch,brown,,400,False,08:16.3,,,496340,False,1
08:23.9,503921,24188208,,exhale,34,62,baseline,,190.0,500,True,,08:24.6,504611.0,504421,True,2
08:32.0,511961,24574128,,inhale,34,63,inhalation,blue,1500.0,300,True,08:32.3,08:33.8,513761.0,512261,True,1
08:39.9,519941,24957168,,exhale,34,64,exhalation,blue,190.0,400,True,08:40.3,08:40.5,520531.0,520341,True,2
08:48.0,527981,25343088,,inhale,34,65,inhalation,blue,190.0,300,True,08:48.3,08:48.5,528471.0,528281,True,1
08:56.0,535961,25726128,,exhale,34,66,exhalation,white,400.0,400,True,08:56.4,08:56.8,536761.0,536361,True,2
09:4.0,544030,26113487,,inhale,34,67,baseline,,190.0,300,True,,09:4.5,544520.0,544330,True,1
09:12.0,551981,26495088,,exhale,34,68,baseline,,190.0,100,True,,09:12.3,552271.0,552081,True,2
09:20.1,560081,26883888,,inhale,34,69,baseline,,400.0,400,True,,09:20.9,560881.0,560481,True,1
09:28.0,568030,27265487,,exhale,34,70,baseline,,1500.0,500,True,,09:30.0,570030.0,568530,True,2
09:36.1,576070,27651407,,inhale,34,71,baseline,,190.0,300,True,,09:36.6,576560.0,576370,True,1
09:44.1,584050,28034447,,exhale,34,72,baseline,,700.0,200,True,,09:45.0,584950.0,584250,True,2
09:45.1,585051,28082448,,inhale,34,73,catch,blue,,100,False,09:45.2,,,585151,False,1
09:53.0,593001,28464048,,exhale,34,74,baseline,,700.0,300,True,,09:54.0,594001.0,593301,True,2
10:1.1,601070,28851360,,inhale,34,75,inhalation,blue,400.0,100,True,10:1.2,10:1.6,601570.0,601170,True,1
10:9.1,609051,29234448,,exhale,34,76,exhalation,pink,190.0,200,True,10:9.3,10:9.4,609441.0,609251,True,2
10:17.1,617121,29621808,,inhale,34,77,inhalation,white,190.0,200,True,10:17.3,10:17.5,617511.0,617321,True,1
10:25.1,625071,30003408,,exhale,34,78,exhalation,brown,700.0,400,True,10:25.5,10:26.2,626171.0,625471,True,2
10:33.1,633141,30390768,,inhale,34,79,inhalation,blue,700.0,500,True,10:33.6,10:34.3,634341.0,633641,True,1
10:41.1,641121,30773808,,exhale,34,80,exhalation,brown,1500.0,100,True,10:41.2,10:42.7,642721.0,641221,True,2
10:49.2,649191,31161168,,inhale,34,81,catch,blue,,500,False,10:49.7,,,649691,False,1
10:57.1,657141,31542768,,exhale,34,82,exhalation,blue,400.0,500,True,10:57.6,10:58.0,658041.0,657641,True,2
11:5.2,665211,31930128,,inhale,34,83,inhalation,white,1500.0,300,True,11:5.5,11:7.0,667011.0,665511,True,1
11:13.2,673191,32313168,,exhale,34,84,baseline,,400.0,400,True,,11:14.0,673991.0,673591,True,2
11:21.2,681231,32699088,,inhale,34,85,inhalation,brown,1000.0,100,True,11:21.3,11:22.3,682331.0,681331,True,1
11:29.2,689211,33082128,,exhale,34,86,exhalation,blue,1000.0,500,True,11:29.7,11:30.7,690711.0,689711,True,2
11:37.3,697280,33469487,,inhale,34,87,inhalation,brown,700.0,500,True,11:37.8,11:38.5,698480.0,697780,True,1
11:45.3,705261,33852528,,exhale,34,88,exhalation,white,1000.0,400,True,11:45.7,11:46.7,706661.0,705661,True,2
11:53.3,713301,34238448,,inhale,34,89,inhalation,brown,700.0,400,True,11:53.7,11:54.4,714401.0,713701,True,1
12:1.3,721281,34621488,,exhale,34,90,exhalation,white,190.0,500,True,12:1.8,12:2.0,721971.0,721781,True,2
12:9.4,729351,35008848,,inhale,34,91,inhalation,white,400.0,500,True,12:9.9,12:10.3,730251.0,729851,True,1
12:17.3,737301,35390448,,exhale,34,92,exhalation,brown,400.0,500,True,12:17.8,12:18.2,738201.0,737801,True,2
12:25.4,745401,35779248,,inhale,34,93,inhalation,blue,700.0,400,True,12:25.8,12:26.5,746501.0,745801,True,1
12:33.4,753351,36160848,,exhale,34,94,baseline,,190.0,300,True,,12:33.8,753841.0,753651,True,2
12:41.4,761420,36548160,,inhale,34,95,inhalation,white,700.0,100,True,12:41.5,12:42.2,762220.0,761520,True,1
12:49.4,769401,36931248,,exhale,34,96,exhalation,pink,1500.0,100,True,12:49.5,12:51.0,771001.0,769501,True,2
12:57.4,777441,37317168,,inhale,34,97,inhalation,brown,1500.0,300,True,12:57.7,12:59.2,779241.0,777741,True,1
13:5.4,785421,37700208,,exhale,34,98,exhalation,brown,700.0,100,True,13:5.5,13:6.2,786221.0,785521,True,2
13:13.5,793461,38086128,,inhale,34,99,inhalation,pink,190.0,100,True,13:13.6,13:13.8,793751.0,793561,True,1
