timestamp,milliseconds,sample_index,description,breathphase,repetition
00:32.2,32200,1545600,First hold ends,inhale,0
00:40.2,40200,1929600,Second hold ends,exhale,0
00:48.2,48200,2313600,Third hold ends,inhale,0
00:56.2,56200,2697600,Fourth hold ends,exhale,0
01:04.2,64200,3081600,Fifth hold ends,inhale,0
01:12.2,72200,3465600,Sixth hold ends,exhale,0
01:20.2,80200,3849600,Seventh hold ends,inhale,0
01:28.2,88200,4233600,Eighth hold ends,exhale,0
01:36.2,96200,4617600,Ninth hold ends,inhale,0
01:44.2,104200,5001600,Tenth hold ends,exhale,0
01:52.2,112200,5385600,Eleventh hold ends,inhale,0
02:00.2,120200,5769600,Twelfth hold ends,exhale,0
02:08.4,128400,6163200,Thirteenth hold ends (timing shift +0.2s),inhale,0
02:16.4,136400,6547200,Fourteenth hold ends,exhale,0
02:24.4,144400,6931200,Fifteenth hold ends,inhale,0
02:32.4,152400,7315200,Sixteenth hold ends,exhale,0
02:40.4,160400,7699200,Seventeenth hold ends,inhale,0
02:48.4,168400,8083200,Eighteenth hold ends,exhale,0
02:56.4,176400,8467200,Nineteenth hold ends,inhale,0
03:04.4,184400,8851200,Twentieth hold ends,exhale,0
03:12.4,192400,9235200,Twenty-first hold ends,inhale,0
03:20.4,200400,9619200,Twenty-second hold ends,exhale,0
03:28.4,208400,10003200,Twenty-third hold ends,inhale,0
03:36.4,216400,10387200,Twenty-fourth hold ends,exhale,0
03:44.4,224400,10771200,Twenty-fifth hold ends,inhale,0
03:52.4,232400,11155200,Twenty-sixth hold ends,exhale,0
04:00.4,240400,11539200,Twenty-seventh hold ends,inhale,0
04:08.4,248400,11923200,Twenty-eighth hold ends,exhale,0
04:16.4,256400,12307200,Twenty-ninth hold ends,inhale,0
04:24.4,264400,12691200,Thirtieth hold ends,exhale,0
04:32.4,272400,13075200,Thirty-first hold ends,inhale,0
04:40.4,280400,13459200,Thirty-second hold ends,exhale,0
04:48.4,288400,13843200,Thirty-third hold ends,inhale,0
04:56.4,296400,14227200,Thirty-fourth hold ends,exhale,0
04:56.4,296400,14227200,Thirteenth hold ends (timing shift +0.2s),inhale,1
05:04.4,304400,14611200,Fourteenth hold ends,exhale,1
05:12.4,312400,14995200,Fifteenth hold ends,inhale,1
05:20.4,320400,15379200,Sixteenth hold ends,exhale,1
05:28.4,328400,15763200,Seventeenth hold ends,inhale,1
05:36.4,336400,16147200,Eighteenth hold ends,exhale,1
05:44.4,344400,16531200,Nineteenth hold ends,inhale,1
05:52.4,352400,16915200,Twentieth hold ends,exhale,1
06:00.4,360400,17299200,Twenty-first hold ends,inhale,1
06:08.4,368400,17683200,Twenty-second hold ends,exhale,1
06:16.4,376400,18067200,Twenty-third hold ends,inhale,1
06:24.4,384400,18451200,Twenty-fourth hold ends,exhale,1
06:32.4,392400,18835200,Twenty-fifth hold ends,inhale,1
06:40.4,400400,19219200,Twenty-sixth hold ends,exhale,1
06:48.4,408400,19603200,Twenty-seventh hold ends,inhale,1
06:56.4,416400,19987200,Twenty-eighth hold ends,exhale,1
07:04.4,424400,20371200,Twenty-ninth hold ends,inhale,1
07:12.4,432400,20755200,Thirtieth hold ends,exhale,1
07:20.4,440400,21139200,Thirty-first hold ends,inhale,1
07:28.4,448400,21523200,Thirty-second hold ends,exhale,1
07:36.4,456400,21907200,Thirty-third hold ends,inhale,1
07:44.4,464400,22291200,Thirty-fourth hold ends,exhale,1
07:44.4,464400,22291200,Thirteenth hold ends (timing shift +0.2s),inhale,2
07:52.4,472400,22675200,Fourteenth hold ends,exhale,2
08:00.4,480400,23059200,Fifteenth hold ends,inhale,2
08:08.4,488400,23443200,Sixteenth hold ends,exhale,2
08:16.4,496400,23827200,Seventeenth hold ends,inhale,2
08:24.4,504400,24211200,Eighteenth hold ends,exhale,2
08:32.4,512400,24595200,Nineteenth hold ends,inhale,2
08:40.4,520400,24979200,Twentieth hold ends,exhale,2
08:48.4,528400,25363200,Twenty-first hold ends,inhale,2
08:56.4,536400,25747200,Twenty-second hold ends,exhale,2
09:04.4,544400,26131200,Twenty-third hold ends,inhale,2
09:12.4,552400,26515200,Twenty-fourth hold ends,exhale,2
09:20.4,560400,26899200,Twenty-fifth hold ends,inhale,2
09:28.4,568400,27283200,Twenty-sixth hold ends,exhale,2
09:36.4,576400,27667200,Twenty-seventh hold ends,inhale,2
09:44.4,584400,28051200,Twenty-eighth hold ends,exhale,2
09:52.4,592400,28435200,Twenty-ninth hold ends,inhale,2
10:00.4,600400,28819200,Thirtieth hold ends,exhale,2
10:08.4,608400,29203200,Thirty-first hold ends,inhale,2
10:16.4,616400,29587200,Thirty-second hold ends,exhale,2
10:24.4,624400,29971200,Thirty-third hold ends,inhale,2
10:32.4,632400,30355200,Thirty-fourth hold ends,exhale,2
05:04.6,304600,14620800,Thirty-fifth hold ends (timing shift +0.2s),inhale,0
05:12.6,312600,15004800,Thirty-sixth hold ends,exhale,0
05:20.6,320600,15388800,Thirty-seventh hold ends,inhale,0
05:28.6,328600,15772800,Thirty-eighth hold ends (final hold),exhale,0
