retentionslot_timestamp,milliseconds,sample_index,description,breathphase,participant_id,trial_number,trial_type,stimulus_type,soa_value_ms,jitter_ms,is_tactile,looming_stimulus_timestamp,tactile_stimulus_timestamp,soa_ms,jittered_ms,expected_response,marker_type,tactile_time_seconds,audio_start_time,reaction_time,response_time,responded,response_x,response_y
00:31.9,31950,1533600,,inhale,0,1,practice,,,200,False,,,,32150,False,1,,2025-03-31T03:53:05.437712,,,False,,
00:39.9,39930,1916640,,exhale,0,2,practice,,,300,False,,,,40230,False,2,,2025-03-31T03:53:05.437712,,,False,,
00:48.0,48000,2304000,,inhale,0,3,practice,,,200,False,,,,48200,False,1,,2025-03-31T03:53:05.437712,,,False,,
00:56.0,55950,2685600,,exhale,0,4,practice,,,400,False,,,,56350,False,2,,2025-03-31T03:53:05.437712,,,False,,
01:4.0,64019,3072912,,inhale,0,5,practice,,,500,False,,,,64519,False,1,,2025-03-31T03:53:05.437712,,,False,,
01:12.0,72000,3456000,,exhale,0,6,practice,,,400,False,,,,72400,False,2,,2025-03-31T03:53:05.437712,,,False,,
01:20.1,80069,3843359,,inhale,0,7,practice,,,500,False,,,,80569,False,1,,2025-03-31T03:53:05.437712,,,False,,
01:28.0,88020,4224960,,exhale,0,8,practice,,,100,False,,,,88120,False,2,,2025-03-31T03:53:05.437712,,,False,,
01:36.1,96090,4612320,,inhale,0,9,baseline,,1000.0,500,True,,01:37.6,97590.0,96590,True,1,97.6,2025-03-31T03:53:05.437712,,,False,,
01:44.1,104070,4995360,,exhale,0,10,exhalation,pink,700.0,200,True,01:44.3,01:45.0,104970.0,104270,True,2,105.0,2025-03-31T03:53:05.437712,,,False,,
01:52.1,112140,5382720,,inhale,0,11,baseline,,190.0,400,True,,01:52.7,112730.0,112540,True,1,112.7,2025-03-31T03:53:05.437712,,,False,,
02:0.1,120090,5764320,,exhale,0,12,exhalation,brown,700.0,500,True,02:0.6,02:1.3,121290.0,120590,True,2,121.3,2025-03-31T03:53:05.437712,,,False,,
02:8.2,128160,6151680,,inhale,0,13,inhalation,brown,1500.0,500,True,02:8.7,02:10.2,130160.0,128660,True,1,130.2,2025-03-31T03:53:05.437712,,,False,,
02:16.1,136139,6534719,,exhale,0,14,catch,blue,,300,False,02:16.4,,,136439,False,2,,2025-03-31T03:53:05.437712,,,False,,
02:24.2,144180,6920640,,inhale,0,15,inhalation,blue,190.0,500,True,02:24.7,02:24.9,144870.0,144680,True,1,144.9,2025-03-31T03:53:05.437712,,,False,,
02:32.2,152160,7303680,,exhale,0,16,exhalation,white,1000.0,200,True,02:32.4,02:33.4,153360.0,152360,True,2,153.4,2025-03-31T03:53:05.437712,,,False,,
02:40.2,160229,7691039,,inhale,0,17,baseline,,1500.0,300,True,,02:42.0,162029.0,160529,True,1,162.0,2025-03-31T03:53:05.437712,,,False,,
02:48.2,168210,8074080,,exhale,0,18,catch,pink,,300,False,02:48.5,,,168510,False,2,,2025-03-31T03:53:05.437712,,,False,,
02:56.2,176250,8460000,,inhale,0,19,inhalation,white,1000.0,300,True,02:56.5,02:57.5,177550.0,176550,True,1,177.5,2025-03-31T03:53:05.437712,,,False,,
03:4.2,184230,8843040,,exhale,0,20,exhalation,white,400.0,300,True,03:4.5,03:4.9,184930.0,184530,True,2,184.9,2025-03-31T03:53:05.437712,,,False,,
03:12.3,192300,9230400,,inhale,0,21,inhalation,brown,1000.0,300,True,03:12.6,03:13.6,193600.0,192600,True,1,193.6,2025-03-31T03:53:05.437712,,,False,,
03:20.2,200250,9612000,,exhale,0,22,exhalation,white,1500.0,100,True,03:20.4,03:21.9,201850.0,200350,True,2,201.9,2025-03-31T03:53:05.437712,,,False,,
03:28.3,208350,10000800,,inhale,0,23,inhalation,brown,190.0,100,True,03:28.4,03:28.6,208640.0,208450,True,1,208.6,2025-03-31T03:53:05.437712,,,False,,
03:36.3,216300,10382400,,exhale,0,24,exhalation,blue,1000.0,300,True,03:36.6,03:37.6,217600.0,216600,True,2,217.6,2025-03-31T03:53:05.437712,,,False,,
03:44.4,224369,10769712,,inhale,0,25,inhalation,blue,1500.0,200,True,03:44.6,03:46.1,226069.0,224569,True,1,226.1,2025-03-31T03:53:05.437712,,,False,,
03:52.3,232350,11152800,,exhale,0,26,baseline,,190.0,500,True,,03:53.0,233040.0,232850,True,2,233.0,2025-03-31T03:53:05.437712,,,False,,
