retentionslot_timestamp,milliseconds,sample_index,description,breathphase,participant_id,trial_number,trial_type,stimulus_type,soa_value_ms,jitter_ms,is_tactile,looming_stimulus_timestamp,tactile_stimulus_timestamp,soa_ms,jittered_ms,expected_response,marker_type,tactile_time_seconds,audio_start_time,reaction_time,response_time,responded,response_x,response_y,experiment_end_time,hit_rate,hit_count,false_alarm_rate,false_alarm_count,mean_reaction_time,median_reaction_time,min_reaction_time,max_reaction_time
00:31.9,31950.0,1533600.0,,inhale,0.0,1,practice,,,200.0,False,,,,32150.0,False,1.0,,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
00:39.9,39930.0,1916640.0,,exhale,0.0,2,practice,,,300.0,False,,,,40230.0,False,2.0,,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
00:48.0,48000.0,2304000.0,,inhale,0.0,3,practice,,,200.0,False,,,,48200.0,False,1.0,,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
00:56.0,55950.0,2685600.0,,exhale,0.0,4,practice,,,400.0,False,,,,56350.0,False,2.0,,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
01:4.0,64019.0,3072912.0,,inhale,0.0,5,practice,,,500.0,False,,,,64519.0,False,1.0,,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
01:12.0,72000.0,3456000.0,,exhale,0.0,6,practice,,,400.0,False,,,,72400.0,False,2.0,,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
01:20.1,80069.0,3843359.0,,inhale,0.0,7,practice,,,500.0,False,,,,80569.0,False,1.0,,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
01:28.0,88020.0,4224960.0,,exhale,0.0,8,practice,,,100.0,False,,,,88120.0,False,2.0,,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
01:36.1,96090.0,4612320.0,,inhale,0.0,9,baseline,,1000.0,500.0,True,,01:37.6,97590.0,96590.0,True,1.0,97.6,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
01:44.1,104070.0,4995360.0,,exhale,0.0,10,exhalation,pink,700.0,200.0,True,01:44.3,01:45.0,104970.0,104270.0,True,2.0,105.0,2025-03-31T03:53:05.437712,1.042169800028205,106.0421698000282,True,526,37,,,,,,,,,
01:52.1,112140.0,5382720.0,,inhale,0.0,11,baseline,,190.0,400.0,True,,01:52.7,112730.0,112540.0,True,1.0,112.7,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
02:0.1,120090.0,5764320.0,,exhale,0.0,12,exhalation,brown,700.0,500.0,True,02:0.6,02:1.3,121290.0,120590.0,True,2.0,121.3,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
02:8.2,128160.0,6151680.0,,inhale,0.0,13,inhalation,brown,1500.0,500.0,True,02:8.7,02:10.2,130160.0,128660.0,True,1.0,130.2,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
02:16.1,136139.0,6534719.0,,exhale,0.0,14,catch,blue,,300.0,False,02:16.4,,,136439.0,False,2.0,,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
02:24.2,144180.0,6920640.0,,inhale,0.0,15,inhalation,blue,190.0,500.0,True,02:24.7,02:24.9,144870.0,144680.0,True,1.0,144.9,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
02:32.2,152160.0,7303680.0,,exhale,0.0,16,exhalation,white,1000.0,200.0,True,02:32.4,02:33.4,153360.0,152360.0,True,2.0,153.4,2025-03-31T03:53:05.437712,,,False,,,,,,,,,,,
